date,value
2025-09-18,67.83
2025-09-19,67.05
2025-09-22,66.87
2025-09-23,67.96
2025-09-24,69.64
2025-09-25,70.48
2025-09-26,71.15
2025-09-29,69.0
2025-09-30,68.52
2025-10-01,66.67
2025-10-02,65.44
2025-10-03,66.13
2025-10-06,67.09
2025-10-07,67.1
2025-10-08,67.42
2025-10-09,67.23
2025-10-10,64.41
2025-10-13,64.15
2025-10-14,63.0
2025-10-15,62.33
2025-10-16,61.08
2025-10-17,61.23
2025-10-20,60.71
2025-10-21,61.0
2025-10-22,62.28
2025-10-23,66.32
2025-10-24,65.8
2025-10-27,65.52
2025-10-28,64.03
2025-10-29,65.01
2025-10-30,65.11
2025-10-31,65.44
2025-11-03,65.79
2025-11-04,65.04
2025-11-05,63.54
2025-11-06,63.41
2025-11-07,63.72
2025-11-10,63.01
2025-11-11,63.86
2025-11-12,61.88
2025-11-13,62.14
2025-11-14,63.45
2025-11-17,63.16
2025-11-18,64.86
2025-11-19,63.78
2025-11-20,63.64
2025-11-21,62.78
2025-11-24,64.83
2025-11-25,63.99
2025-11-26,64.81
2025-11-27,64.18
2025-11-28,64.07
2025-12-01,64.22
2025-12-02,63.37
2025-12-03,63.75
2025-12-04,64.15
2025-12-05,64.42
2025-12-08,63.3
2025-12-09,62.62
2025-12-10,63.12
2025-12-11,61.87
2025-12-12,62.11
2025-12-15,61.55
2025-12-16,59.93
2025-12-17,60.61
2025-12-18,60.69
2025-12-19,61.35
2025-12-22,62.22
2025-12-23,63.7
2025-12-24,63.7
2025-12-29,63.1
2025-12-30,62.3
2025-12-31,61.35
2026-01-02,61.98
2026-01-05,63.0
2026-01-06,62.1
2026-01-07,61.08
2026-01-08,63.34
2026-01-09,65.11
2026-01-12,65.4
2026-01-13,67.58
2026-01-14,68.87
2026-01-15,66.16
2026-01-16,66.97
2026-01-19,66.91
2026-01-20,67.68
2026-01-21,66.72
2026-01-22,65.46
2026-01-23,68.16
2026-01-26,67.7
2026-01-27,70.28
2026-01-28,70.9
2026-01-29,71.0
2026-01-30,72.25
2026-02-02,67.72
2026-02-03,70.01
2026-02-04,71.15
2026-02-05,69.87
2026-02-06,70.45
2026-02-09,71.19
2026-02-10,71.01
2026-02-11,71.52
2026-02-12,69.8
2026-02-13,69.96
2026-02-16,70.81
2026-02-17,69.77
2026-02-18,71.78
2026-02-19,73.17
2026-02-20,72.75
2026-02-23,71.9
2026-02-24,71.21
2026-02-25,70.69
2026-02-26,71.66
2026-02-27,71.32
2026-03-02,77.24
2026-03-03,83.28
2026-03-04,81.56
2026-03-05,88.59
2026-03-06,95.74
2026-03-09,94.35
2026-03-10,89.84
2026-03-11,90.98
2026-03-12,102.38
2026-03-13,103.23
2026-03-16,101.04
