date,value
2026-02-25,49482.15
2026-02-26,49499.2
2026-02-27,48977.92
2026-03-02,48904.78
2026-03-03,48501.27
2026-03-04,48739.41
2026-03-05,47954.74
2026-03-06,47501.55
2026-03-09,47740.8
2026-03-10,47706.51
2026-03-11,47417.27
2026-03-12,46677.85
2026-03-13,46558.47
2026-03-16,46946.41
2026-03-17,46993.26
2026-03-18,46225.15
2026-03-19,46021.43
2026-03-20,45577.47
2026-03-23,46208.47
2026-03-24,46124.06
2026-03-25,46429.49
2026-03-26,45960.11
2026-03-27,45166.64
2026-03-30,45216.14
2026-03-31,46341.51
2026-04-01,46565.74
2026-04-02,46504.67
2026-04-06,46669.88
2026-04-07,46584.46
2026-04-08,47909.92
2026-04-09,48185.8
2026-04-10,47916.57
2026-04-13,48218.25
2026-04-14,48535.99
2026-04-15,48463.72
2026-04-16,48578.72
2026-04-17,49447.43
2026-04-20,49442.56
2026-04-21,49149.38
2026-04-22,49490.03
2026-04-23,49310.32
2026-04-24,49230.71
2026-04-27,49167.79
2026-04-28,49141.93
2026-04-29,48861.81
2026-04-30,49652.14
2026-05-01,49499.27
2026-05-04,48941.9
2026-05-05,49298.25
2026-05-06,49910.59
2026-05-07,49596.97
2026-05-08,49609.16
2026-05-11,49704.47
2026-05-12,49760.56
2026-05-13,49693.2
2026-05-14,50063.46
2026-05-15,49526.17
2026-05-18,49686.12
2026-05-19,49363.88
2026-05-20,50009.35
2026-05-21,50285.66
2026-05-22,50579.7
2026-05-26,50461.68
2026-05-27,50644.28
2026-05-28,50668.97
2026-05-29,51032.46
2026-06-01,51078.88
2026-06-02,51307.79
2026-06-03,50687.07
2026-06-04,51561.93
2026-06-05,50866.78
2026-06-08,50786.01
2026-06-09,50872.11
2026-06-10,49918.78
2026-06-11,50848.75
2026-06-12,51202.26
2026-06-15,51671.03
2026-06-16,51999.67
2026-06-17,51492.55
2026-06-18,51564.7
2026-06-22,51712.71
2026-06-23,51666.84
2026-06-24,51848.9
2026-06-25,51920.62
2026-06-26,51876.11
2026-06-29,52182.74
2026-06-30,52319.2
2026-07-01,52305.24
2026-07-02,52900.07
2026-07-06,53055.91
2026-07-07,52925.15
2026-07-08,52348.39
2026-07-09,52487.41
2026-07-10,52637.01
2026-07-13,52498.64
2026-07-14,52508.27
2026-07-15,52658.64
2026-07-16,52552.97
2026-07-17,52146.42
2026-07-20,51839.26
2026-07-21,52224.64
2026-07-22,52218.58
2026-07-23,51711.65
2026-07-24,51947.25
2026-07-27,52210.08
2026-07-28,52747.32
2026-07-29,51594.14
2026-07-30,52208.06
2026-07-31,52485.03
2026-08-03,53178.41
2026-08-04,54085.88
2026-08-05,54349.12
2026-08-06,53885.1
2026-08-07,54036.93
2026-08-10,53975.98
2026-08-11,53791.85
2026-08-12,53770.27
2026-08-13,53839.99
2026-08-14,53732.41
2026-08-17,53459.78
2026-08-18,53343.4
2026-08-19,53463.05
2026-08-20,52759.21
2026-08-21,53277.01
2026-08-24,53417.16
2026-08-25,53577.4
2026-08-26,53463.88
