date,value
2025-09-18,6631.96
2025-09-19,6664.36
2025-09-22,6693.75
2025-09-23,6656.92
2025-09-24,6637.97
2025-09-25,6604.72
2025-09-26,6643.7
2025-09-29,6661.21
2025-09-30,6688.46
2025-10-01,6711.2
2025-10-02,6715.35
2025-10-03,6715.79
2025-10-06,6740.28
2025-10-07,6714.59
2025-10-08,6753.72
2025-10-09,6735.11
2025-10-10,6552.51
2025-10-13,6654.72
2025-10-14,6644.31
2025-10-15,6671.06
2025-10-16,6629.07
2025-10-17,6664.01
2025-10-20,6735.13
2025-10-21,6735.35
2025-10-22,6699.4
2025-10-23,6738.44
2025-10-24,6791.69
2025-10-27,6875.16
2025-10-28,6890.89
2025-10-29,6890.59
2025-10-30,6822.34
2025-10-31,6840.2
2025-11-03,6851.97
2025-11-04,6771.55
2025-11-05,6796.29
2025-11-06,6720.32
2025-11-07,6728.8
2025-11-10,6832.43
2025-11-11,6846.61
2025-11-12,6850.92
2025-11-13,6737.49
2025-11-14,6734.11
2025-11-17,6672.41
2025-11-18,6617.32
2025-11-19,6642.16
2025-11-20,6538.76
2025-11-21,6602.99
2025-11-24,6705.12
2025-11-25,6765.88
2025-11-26,6812.61
2025-11-28,6849.09
2025-12-01,6812.63
2025-12-02,6829.37
2025-12-03,6849.72
2025-12-04,6857.12
2025-12-05,6870.4
2025-12-08,6846.51
2025-12-09,6840.51
2025-12-10,6886.68
2025-12-11,6901.0
2025-12-12,6827.41
2025-12-15,6816.51
2025-12-16,6800.26
2025-12-17,6721.43
2025-12-18,6774.76
2025-12-19,6834.5
2025-12-22,6878.49
2025-12-23,6909.79
2025-12-24,6932.05
2025-12-26,6929.94
2025-12-29,6905.74
2025-12-30,6896.24
2025-12-31,6845.5
2026-01-02,6858.47
2026-01-05,6902.05
2026-01-06,6944.82
2026-01-07,6920.93
2026-01-08,6921.46
2026-01-09,6966.28
2026-01-12,6977.27
2026-01-13,6963.74
2026-01-14,6926.6
2026-01-15,6944.47
2026-01-16,6940.01
2026-01-20,6796.86
2026-01-21,6875.62
2026-01-22,6913.35
2026-01-23,6915.61
2026-01-26,6950.23
2026-01-27,6978.6
2026-01-28,6978.03
2026-01-29,6969.01
2026-01-30,6939.03
2026-02-02,6976.44
2026-02-03,6917.81
2026-02-04,6882.72
2026-02-05,6798.4
2026-02-06,6932.3
2026-02-09,6964.82
2026-02-10,6941.81
2026-02-11,6941.47
2026-02-12,6832.76
2026-02-13,6836.17
2026-02-17,6843.22
2026-02-18,6881.31
2026-02-19,6861.89
2026-02-20,6909.51
2026-02-23,6837.75
2026-02-24,6890.07
2026-02-25,6946.13
2026-02-26,6908.86
2026-02-27,6878.88
2026-03-02,6881.62
2026-03-03,6816.63
2026-03-04,6869.5
2026-03-05,6830.71
2026-03-06,6740.02
2026-03-09,6795.99
2026-03-10,6781.48
2026-03-11,6775.8
2026-03-12,6672.62
2026-03-13,6632.19
2026-03-16,6699.38
2026-03-17,6716.09
2026-03-18,6624.7
2026-03-19,6606.49
