date,value
2026-02-03,18.0
2026-02-04,18.64
2026-02-05,21.77
2026-02-06,17.76
2026-02-09,17.36
2026-02-10,17.79
2026-02-11,17.65
2026-02-12,20.82
2026-02-13,20.6
2026-02-16,21.2
2026-02-17,20.29
2026-02-18,19.62
2026-02-19,20.23
2026-02-20,19.09
2026-02-23,21.01
2026-02-24,19.55
2026-02-25,17.93
2026-02-26,18.63
2026-02-27,19.86
2026-03-02,21.44
2026-03-03,23.57
2026-03-04,21.15
2026-03-05,23.75
2026-03-06,29.49
2026-03-09,25.5
2026-03-10,24.93
2026-03-11,24.23
2026-03-12,27.29
2026-03-13,27.19
2026-03-16,23.51
2026-03-17,22.37
2026-03-18,25.09
2026-03-19,24.06
2026-03-20,26.78
2026-03-23,26.15
2026-03-24,26.95
2026-03-25,25.33
2026-03-26,27.44
2026-03-27,31.05
2026-03-30,30.61
2026-03-31,25.25
2026-04-01,24.54
2026-04-02,23.87
2026-04-06,24.17
2026-04-07,25.78
2026-04-08,21.04
2026-04-09,19.49
2026-04-10,19.23
2026-04-13,19.12
2026-04-14,18.36
2026-04-15,18.17
2026-04-16,17.94
2026-04-17,17.48
2026-04-20,18.87
2026-04-21,19.5
2026-04-22,18.92
2026-04-23,19.31
2026-04-24,18.71
2026-04-27,18.02
2026-04-28,17.83
2026-04-29,18.81
2026-04-30,16.89
2026-05-01,16.99
2026-05-04,18.29
2026-05-05,17.38
2026-05-06,17.39
2026-05-07,17.08
2026-05-08,17.19
2026-05-11,18.38
2026-05-12,17.99
2026-05-13,17.87
2026-05-14,17.26
2026-05-15,18.43
2026-05-18,17.82
2026-05-19,18.06
2026-05-20,17.44
2026-05-21,16.76
2026-05-22,16.7
2026-05-25,16.59
2026-05-26,17.01
2026-05-27,16.29
2026-05-28,15.74
2026-05-29,15.32
2026-06-01,16.05
2026-06-02,15.77
2026-06-03,16.06
2026-06-04,15.4
2026-06-05,21.51
2026-06-08,18.92
2026-06-09,19.87
2026-06-10,22.22
2026-06-11,19.44
2026-06-12,17.68
2026-06-15,16.2
2026-06-16,16.41
2026-06-17,18.44
2026-06-18,16.4
2026-06-19,16.78
2026-06-22,17.28
2026-06-23,19.49
2026-06-24,18.63
2026-06-25,18.89
2026-06-26,18.41
2026-06-29,17.65
2026-06-30,16.45
2026-07-01,16.59
2026-07-02,16.15
2026-07-03,15.81
2026-07-06,15.57
2026-07-07,16.13
2026-07-08,16.9
2026-07-09,15.84
2026-07-10,15.03
2026-07-13,17.16
2026-07-14,16.5
2026-07-15,15.67
2026-07-16,16.73
2026-07-17,18.77
2026-07-20,18.65
2026-07-21,17.05
2026-07-22,16.64
2026-07-23,18.7
2026-07-24,18.58
2026-07-27,18.67
2026-07-28,18.21
2026-07-29,20.66
2026-07-30,17.09
2026-07-31,15.99
2026-08-03,15.86
